weekday,date,study_time,study_decimal
1,8/21/2017,0:40,0.67
2,8/22/2017,0:30,0.50
3,8/23/2017,6:23,6.38
4,8/24/2017,5:48,5.80
5,8/25/2017,5:15,5.25
6,8/26/2017,0:00,0.00
7,8/27/2017,0:00,0.00
1,8/28/2017,6:30,6.50
2,8/29/2017,4:00,4.00
3,8/30/2017,8:30,8.50
4,8/31/2017,1:45,1.75
5,9/1/2017,5:30,5.50
6,9/2/2017,0:00,0.00
7,9/3/2017,0:00,0.00
1,9/4/2017,0:00,0.00
2,9/5/2017,3:15,3.25
3,9/6/2017,7:15,7.25
4,9/7/2017,9:58,9.97
5,9/8/2017,5:00,5.00
6,9/9/2017,0:00,0.00
7,9/10/2017,0:00,0.00
1,9/11/2017,7:20,7.33
2,9/12/2017,3:01,3.02
3,9/13/2017,7:20,7.33
4,9/14/2017,5:00,5.00
5,9/15/2017,4:08,4.13
6,9/16/2017,0:00,0.00
7,9/17/2017,1:14,1.23
1,9/18/2017,5:06,5.10
2,9/19/2017,3:07,3.12
3,9/20/2017,7:36,7.60
4,9/21/2017,4:10,4.17
5,9/22/2017,5:20,5.33
6,9/23/2017,0:00,0.00
7,9/24/2017,1:45,1.75
1,9/25/2017,7:30,7.50
2,9/26/2017,4:18,4.30
3,9/27/2017,8:58,8.97
4,9/28/2017,8:15,8.25
5,9/29/2017,3:43,3.72
6,9/30/2017,0:00,0.00
7,10/1/2017,0:00,0.00
1,10/2/2017,6:32,6.53
2,10/3/2017,4:05,4.08
3,10/4/2017,6:45,6.75
4,10/5/2017,1:15,1.25
5,10/6/2017,3:36,3.60
6,10/7/2017,0:00,0.00
7,10/8/2017,0:00,0.00
1,10/9/2017,3:45,3.75
2,10/10/2017,1:30,1.50
3,10/11/2017,6:45,6.75
4,10/12/2017,10:00,10.00
5,10/13/2017,6:01,6.02
6,10/14/2017,0:00,0.00
7,10/15/2017,0:00,0.00
1,10/16/2017,4:17,4.28
2,10/17/2017,3:02,3.03
3,10/18/2017,9:01,9.02
4,10/19/2017,6:24,6.40
5,10/20/2017,4:06,4.10
6,10/21/2017,4:39,4.65
7,10/22/2017,6:08,6.13
1,10/23/2017,6:37,6.62
2,10/24/2017,12:20,12.33
3,10/25/2017,8:36,8.60
4,10/26/2017,10:30,10.50
5,10/27/2017,5:20,5.33
6,10/28/2017,0:00,0.00
7,10/29/2017,0:15,0.25
1,10/30/2017,3:00,3.00
2,10/31/2017,2:00,2.00
3,11/1/2017,5:13,5.22
4,11/2/2017,6:20,6.33
5,11/3/2017,5:30,5.50
6,11/4/2017,0:00,0.00
7,11/5/2017,0:07,0.12
1,11/6/2017,4:00,4.00
2,11/7/2017,2:07,2.12
3,11/8/2017,6:20,6.33
4,11/9/2017,7:14,7.23
5,11/10/2017,2:00,2.00
6,11/11/2017,0:00,0.00
7,11/12/2017,0:57,0.95
1,11/13/2017,4:50,4.83
2,11/14/2017,9:30,9.50
3,11/15/2017,8:34,8.57
4,11/16/2017,6:15,6.25
5,11/17/2017,3:45,3.75
6,11/18/2017,0:00,0.00
7,11/19/2017,0:00,0.00
1,11/20/2017,0:00,0.00
2,11/21/2017,0:14,0.23
3,11/22/2017,0:00,0.00
4,11/23/2017,0:00,0.00
5,11/24/2017,0:00,0.00
6,11/25/2017,0:00,0.00
7,11/26/2017,2:25,2.42
1,11/27/2017,6:10,6.17
2,11/28/2017,5:21,5.35
3,11/29/2017,8:16,8.27
4,11/30/2017,7:07,7.12
5,12/1/2017,5:15,5.25
6,12/2/2017,0:00,0.00
7,12/3/2017,2:02,2.03
1,12/4/2017,4:29,4.48
2,12/5/2017,4:30,4.50
3,12/6/2017,7:53,7.88
4,12/7/2017,1:55,1.92
5,12/8/2017,6:50,6.83
6,12/9/2017,0:00,0.00
7,12/10/2017,1:15,1.25
1,12/11/2017,3:17,3.28
2,12/12/2017,10:08,10.13
3,12/13/2017,13:12,13.20
4,12/14/2017,5:45,5.75
5,12/15/2017,,0.00
6,12/16/2017,,0.00
7,12/17/2017,,0.00
1,12/18/2017,,0.00
2,12/19/2017,,0.00
3,12/20/2017,,0.00
4,12/21/2017,,0.00
5,12/22/2017,,0.00
6,12/23/2017,,0.00
7,12/24/2017,,0.00
1,12/25/2017,,0.00
2,12/26/2017,,0.00
3,12/27/2017,,0.00
4,12/28/2017,,0.00
5,12/29/2017,,0.00
6,12/30/2017,,0.00
7,12/31/2017,,0.00
1,1/1/2018,,0.00
2,1/2/2018,,0.00
3,1/3/2018,,0.00
4,1/4/2018,,0.00
5,1/5/2018,,0.00
6,1/6/2018,,0.00
7,1/7/2018,,0.00
1,1/8/2018,,0.00
2,1/9/2018,,0.00
3,1/10/2018,,0.00
4,1/11/2018,,0.00
5,1/12/2018,,0.00
6,1/13/2018,,0.00
7,1/14/2018,,0.00
1,1/15/2018,,0.00
2,1/16/2018,,0.00
3,1/17/2018,6:00,6.00
4,1/18/2018,1:53,1.88
5,1/19/2018,5:35,5.58
6,1/20/2018,0:00,0.00
7,1/21/2018,0:00,0.00
1,1/22/2018,7:00,7.00
2,1/23/2018,7:06,7.10
3,1/24/2018,5:12,5.20
4,1/25/2018,2:25,2.42
5,1/26/2018,8:30,8.50
6,1/27/2018,0:00,0.00
7,1/28/2018,0:00,0.00
1,1/29/2018,5:00,5.00
2,1/30/2018,5:00,5.00
3,1/31/2018,5:48,5.80
4,2/1/2018,6:43,6.72
5,2/2/2018,4:45,4.75
6,2/3/2018,,0.00
7,2/4/2018,4:45,4.75
1,2/5/2018,4:40,4.67
2,2/6/2018,5:45,5.75
3,2/7/2018,5:51,5.85
4,2/8/2018,1:17,1.28
5,2/9/2018,6:38,6.63
6,2/10/2018,0:09,0.15
7,2/11/2018,9:27,9.45
1,2/12/2018,7:34,7.57
2,2/13/2018,8:35,8.58
3,2/14/2018,8:37,8.62
4,2/15/2018,3:30,3.50
5,2/16/2018,11:00,11.00
6,2/17/2018,0:00,0.00
7,2/18/2018,0:00,0.00
1,2/19/2018,3:09,3.15
2,2/20/2018,6:47,6.78
3,2/21/2018,5:22,5.37
4,2/22/2018,9:30,9.50
5,2/23/2018,3:40,3.67
6,2/24/2018,0:00,0.00
7,2/25/2018,0:00,0.00
1,2/26/2018,5:26,5.43
2,2/27/2018,8:09,8.15
3,2/28/2018,,0.00
4,3/1/2018,1:35,1.58
5,3/2/2018,4:13,4.22
6,3/3/2018,0:00,0.00
7,3/4/2018,8:58,8.97
1,3/5/2018,2:16,2.27
2,3/6/2018,9:47,9.78
3,3/7/2018,5:43,5.72
4,3/8/2018,2:30,2.50
5,3/9/2018,4:46,4.77
6,3/10/2018,1:36,1.60
7,3/11/2018,3:00,3.00
1,3/12/2018,10:22,10.37
2,3/13/2018,13:38,13.63
3,3/14/2018,4:13,4.22
4,3/15/2018,0:00,0.00
5,3/16/2018,0:00,0.00
6,3/17/2018,0:00,0.00
7,3/18/2018,0:00,0.00
1,3/19/2018,5:56,5.93
2,3/20/2018,5:54,5.90
3,3/21/2018,10:05,10.08
4,3/22/2018,6:35,6.58
5,3/23/2018,4:00,4.00
6,3/24/2018,0:00,0.00
7,3/25/2018,0:00,0.00
1,3/26/2018,0:00,0.00
2,3/27/2018,0:00,0.00
3,3/28/2018,0:00,0.00
4,3/29/2018,0:00,0.00
5,3/30/2018,0:00,0.00
6,3/31/2018,0:00,0.00
7,4/1/2018,1:01,1.02
1,4/2/2018,2:56,2.93
2,4/3/2018,3:29,3.48
3,4/4/2018,3:30,3.50
4,4/5/2018,0:00,0.00
5,4/6/2018,3:43,3.72
6,4/7/2018,0:00,0.00
7,4/8/2018,0:00,0.00
1,4/9/2018,7:02,7.03
2,4/10/2018,4:30,4.50
3,4/11/2018,8:00,8.00
4,4/12/2018,0:20,0.33
5,4/13/2018,4:13,4.22
6,4/14/2018,0:00,0.00
7,4/15/2018,2:00,2.00
1,4/16/2018,5:59,5.98
2,4/17/2018,5:20,5.33
3,4/18/2018,9:58,9.97
4,4/19/2018,0:16,0.27
5,4/20/2018,5:08,5.13
6,4/21/2018,0:07,0.12
7,4/22/2018,0:00,0.00
1,4/23/2018,5:59,5.98
2,4/24/2018,8:05,8.08
3,4/25/2018,6:48,6.80
4,4/26/2018,7:21,7.35
5,4/27/2018,7:07,7.12
6,4/28/2018,1:55,1.92
7,4/29/2018,4:04,4.07
1,4/30/2018,6:00,6.00
2,5/1/2018,5:00,5.00
3,5/2/2018,5:20,5.33
4,5/3/2018,1:53,1.88
5,5/4/2018,3:32,3.53
6,5/5/2018,0:56,0.93
7,5/6/2018,4:36,4.60
1,5/7/2018,10:00,10.00
2,5/8/2018,8:35,8.58
3,5/9/2018,13:03,13.05
4,5/10/2018,9:00,9.00
5,5/11/2018,5:00,5.00
6,5/12/2018,,0.00
7,5/13/2018,,0.00
