weekday,date,study_time,study_decimal
,1/20/2014,,
,1/21/2014,,
,1/22/2014,,
,1/23/2014,,
,1/24/2014,,
,1/25/2014,,
,1/26/2014,,
,1/27/2014,,
,1/28/2014,,
,2/4/2014,,
1,2/10/2014,,
2,2/11/2014,,
3,2/12/2014,,
4,2/13/2014,,
5,2/14/2014,,
6,2/15/2014,,
7,2/16/2014,,
1,2/17/2014,,
2,2/18/2014,,
3,2/19/2014,12:00,12
4,2/20/2014,,
5,2/21/2014,,
6,2/22/2014,,
7,2/23/2014,,
1,2/24/2014,12:00,12
2,2/25/2014,,
3,2/26/2014,12:00,12
4,2/27/2014,,
5,2/28/2014,,
6,3/1/2014,,
7,3/2/2014,,
1,3/3/2014,,
2,3/4/2014,,
3,3/5/2014,,
4,3/6/2014,,
5,3/7/2014,,
6,3/8/2014,,
7,3/9/2014,,
1,3/10/2014,,
2,3/11/2014,,
3,3/12/2014,,
4,3/13/2014,,
5,3/14/2014,,
6,3/15/2014,,
7,3/16/2014,,
1,3/17/2014,,
2,3/18/2014,,
3,3/19/2014,,
4,3/20/2014,,
5,3/21/2014,,
6,3/22/2014,,
7,3/23/2014,,
1,3/24/2014,,
2,3/25/2014,,
3,3/26/2014,,
1,3/24/2014,,
5,3/28/2014,,
6,3/29/2014,,
7,3/30/2014,,
1,3/31/2014,2:38,2.633333333
2,4/1/2014,1:30,1.5
3,4/2/2014,1:57,1.95
4,4/3/2014,5:00,5
5,4/4/2014,0:00,0
6,4/5/2014,1:02,1.033333333
7,4/6/2014,7:30,7.5
1,4/7/2014,3:30,3.5
2,4/8/2014,3:00,3
3,4/9/2014,2:00,2
4,4/10/2014,4:30,4.5
5,4/11/2014,0:00,0
6,4/12/2014,0:00,0
7,4/13/2014,2:30,2.5
1,4/14/2014,2:40,2.666666667
2,4/15/2014,4:00,4
3,4/16/2014,1:00,1
4,4/17/2014,0:00,0
5,4/18/2014,0:00,0
6,4/19/2014,1:30,1.5
7,4/20/2014,2:30,2.5
1,4/21/2014,2:00,2
2,4/22/2014,3:00,3
3,4/23/2014,1:20,1.333333333
4,4/24/2014,1:00,1
5,4/25/2014,0:00,0
6,4/26/2014,2:00,2
7,4/27/2014,3:00,3
1,4/28/2014,2:30,2.5
2,4/29/2014,3:00,3
3,4/30/2014,3:30,3.5
4,5/1/2014,1:30,1.5
5,5/2/2014,0:00,0
6,5/3/2014,0:00,0
7,5/4/2014,1:45,1.75
1,5/5/2014,2:00,2
2,5/6/2014,2:30,2.5
3,5/7/2014,2:00,2
4,5/8/2014,2:05,2.083333333
5,5/9/2014,0:00,0
6,5/10/2014,0:00,0
7,5/11/2014,5:00,5
1,5/12/2014,2:45,2.75
2,5/13/2014,1:45,1.75
3,5/14/2014,2:30,2.5
4,5/15/2014,1:30,1.5
5,5/16/2014,0:00,0
6,5/17/2014,0:00,0
7,5/18/2014,6:00,6
1,5/19/2014,2:00,2
2,5/20/2014,1:00,1
3,5/21/2014,7:00,7
4,5/22/2014,6:00,6
5,5/23/2014,0:00,0
6,5/24/2014,0:00,0
7,5/25/2014,2:00,2
1,5/26/2014,4:00,4
2,5/27/2014,,0
3,5/28/2014,,0
4,5/29/2014,,0
5,5/30/2014,,0
6,5/31/2014,,0
7,6/1/2014,,0
1,6/2/2014,,0
2,6/3/2014,,0
3,6/4/2014,,0
4,6/5/2014,,0
5,6/6/2014,,0
6,6/7/2014,,0
7,6/8/2014,,0
1,6/9/2014,,0
2,6/10/2014,,0
3,6/11/2014,,0
4,6/12/2014,,0
5,6/13/2014,,0
6,6/14/2014,,0
7,6/15/2014,,0
1,6/16/2014,,0
2,6/17/2014,,0
3,6/18/2014,,0
4,6/19/2014,,0
5,6/20/2014,,0
6,6/21/2014,,0
7,6/22/2014,,0
1,6/23/2014,,0
2,6/24/2014,,0
3,6/25/2014,,0
4,6/26/2014,,0
5,6/27/2014,,0
6,6/28/2014,,0
7,6/29/2014,,0
1,6/30/2014,,0
2,7/1/2014,,0
3,7/2/2014,,0
4,7/3/2014,,0
5,7/4/2014,,0
6,7/5/2014,,0
7,7/6/2014,,0
1,7/7/2014,,0
2,7/8/2014,,0
3,7/9/2014,,0
4,7/10/2014,,0
5,7/11/2014,,0
6,7/12/2014,,0
7,7/13/2014,,0
1,7/14/2014,,0
2,7/15/2014,,0
3,7/16/2014,,0
4,7/17/2014,,0
5,7/18/2014,,0
6,7/19/2014,,0
7,7/20/2014,,0
1,7/21/2014,,0
2,7/22/2014,,0
3,7/23/2014,,0
4,7/24/2014,,0
5,7/25/2014,,0
6,7/26/2014,,0
7,7/27/2014,,0
1,7/28/2014,,0
2,7/29/2014,,0
3,7/30/2014,,0
4,7/31/2014,,0
5,8/1/2014,,0
6,8/2/2014,,0
7,8/3/2014,,0
1,8/4/2014,,0
2,8/5/2014,,0
3,8/6/2014,,0
4,8/7/2014,,0
5,8/8/2014,,0
6,8/9/2014,,0
7,8/10/2014,,0
1,8/11/2014,1:00,1
2,8/12/2014,1:00,1
3,8/13/2014,0:25,0.416666667
4,8/14/2014,2:15,2.25
5,8/15/2014,0:00,0
6,8/16/2014,0:00,0
7,8/17/2014,9:00,9
1,8/18/2014,2:30,2.5
2,8/19/2014,2:30,2.5
3,8/20/2014,2:30,2.5
4,8/21/2014,2:30,2.5
5,8/22/2014,2:30,2.5
6,8/23/2014,5:00,5
7,8/24/2014,5:00,5
1,8/25/2014,2:00,2
2,8/26/2014,2:00,2
3,8/27/2014,3:00,3
4,8/28/2014,1:00,1
5,8/29/2014,0:00,0
6,8/30/2014,0:00,0
7,8/31/2014,0:00,0
1,9/1/2014,,0
2,9/2/2014,,0
3,9/3/2014,,0
4,9/4/2014,,0
5,9/5/2014,,0
6,9/6/2014,,0
7,9/7/2014,0:45,0.75
1,9/8/2014,1:45,1.75
2,9/9/2014,2:30,2.5
3,9/10/2014,4:00,4
4,9/11/2014,1:00,1
5,9/12/2014,0:00,0
6,9/13/2014,3:00,3
7,9/14/2014,4:00,4
1,9/15/2014,1:00,1
2,9/16/2014,1:30,1.5
3,9/17/2014,2:30,2.5
4,9/18/2014,1:00,1
5,9/19/2014,0:00,0
6,9/20/2014,3:00,3
7,9/21/2014,5:00,5
1,9/22/2014,2:30,2.5
2,9/23/2014,4:00,4
3,9/24/2014,4:00,4
4,9/25/2014,0:45,0.75
5,9/26/2014,0:30,0.5
6,9/27/2014,0:00,0
7,9/28/2014,6:00,6
1,9/29/2014,1:30,1.5
2,9/30/2014,1:19,1.316666667
3,10/1/2014,2:45,2.75
4,10/2/2014,,0
5,10/3/2014,0:00,0
6,10/4/2014,1:30,1.5
7,10/5/2014,8:00,8
1,10/6/2014,,0
2,10/7/2014,,0
3,10/8/2014,,0
4,10/9/2014,,0
5,10/10/2014,,0
6,10/11/2014,,0
7,10/12/2014,,0
1,10/13/2014,,0
2,10/14/2014,,0
3,10/15/2014,,0
4,10/16/2014,,0
5,10/17/2014,,0
6,10/18/2014,,0
7,10/19/2014,,0
1,10/20/2014,,0
2,10/21/2014,,0
3,10/22/2014,,0
4,10/23/2014,1:33,1.55
5,10/24/2014,3:41,3.683333333
6,10/25/2014,0:00,0
7,10/26/2014,1:23,1.383333333
1,10/27/2014,1:11,1.183333333
2,10/28/2014,2:00,2
3,10/29/2014,3:03,3.05
4,10/30/2014,0:00,0
5,10/31/2014,0:00,0
6,11/1/2014,2:30,2.5
7,11/2/2014,4:30,4.5
1,11/3/2014,3:28,3.466666667
2,11/4/2014,2:30,2.5
3,11/5/2014,0:47,0.783333333
4,11/6/2014,0:00,0
5,11/7/2014,0:00,0
6,11/8/2014,1:01,1.016666667
7,11/9/2014,3:05,3.083333333
1,11/10/2014,0:22,0.366666667
2,11/11/2014,1:10,1.166666667
3,11/12/2014,3:13,3.216666667
4,11/13/2014,0:15,0.25
5,11/14/2014,1:15,1.25
6,11/15/2014,0:00,0
7,11/16/2014,0:00,0
1,11/17/2014,0:30,0.5
2,11/18/2014,2:24,2.4
3,11/19/2014,2:38,2.633333333
4,11/20/2014,4:45,4.75
5,11/21/2014,0:00,0
6,11/22/2014,0:00,0
7,11/23/2014,2:00,2
1,11/24/2014,,0
2,11/25/2014,,0
3,11/26/2014,,0
4,11/27/2014,,0
5,11/28/2014,,0
6,11/29/2014,,0
7,11/30/2014,1:30,1.5
1,12/1/2014,3:30,3.5
2,12/2/2014,1:38,1.633333333
3,12/3/2014,,0
4,12/4/2014,2:30,2.5
5,12/5/2014,0:00,0
6,12/6/2014,0:00,0
7,12/7/2014,1:20,1.333333333
1,12/8/2014,0:10,0.166666667
2,12/9/2014,2:00,2
3,12/10/2014,5:15,5.25
4,12/11/2014,2:16,2.266666667
5,12/12/2014,0:20,0.333333333
6,12/13/2014,3:43,3.716666667
7,12/14/2014,3:39,3.65
1,12/15/2014,4:30,4.5
2,12/16/2014,3:45,3.75
3,12/17/2014,5:50,5.833333333
4,12/18/2014,8:40,8.666666667
5,12/19/2014,0:00,0
6,12/20/2014,,0
7,12/21/2014,,0
1,12/22/2014,,0
2,12/23/2014,,0
3,12/24/2014,,0
4,12/25/2014,,0
5,12/26/2014,,0
6,12/27/2014,,0
7,12/28/2014,,0
1,12/29/2014,,0
2,12/30/2014,,0
3,12/31/2014,,0
4,1/1/2015,,0
5,1/2/2015,,0
6,1/3/2015,,0
7,1/4/2015,,0
1,1/5/2015,1:00,1
2,1/6/2015,0:30,0.5
3,1/7/2015,3:15,3.25
4,1/8/2015,3:15,3.25
5,1/9/2015,4:01,4.016666667
6,1/10/2015,0:00,0
7,1/11/2015,2:30,2.5
1,1/12/2015,0:51,0.85
2,1/13/2015,0:45,0.75
3,1/14/2015,1:00,1
4,1/15/2015,0:20,0.333333333
5,1/16/2015,0:00,0
6,1/17/2015,0:00,0
7,1/18/2015,4:00,4
1,1/19/2015,,0
2,1/20/2015,,0
3,1/21/2015,,0
4,1/22/2015,,0
5,1/23/2015,,0
6,1/24/2015,,0
7,1/25/2015,7:00,7
1,1/26/2015,1:00,1
2,1/27/2015,0:00,0
3,1/28/2015,5:00,5
4,1/29/2015,0:00,0
5,1/30/2015,0:00,0
6,1/31/2015,0:00,0
7,2/1/2015,2:35,2.583333333
1,2/2/2015,2:45,2.75
2,2/3/2015,0:00,0
3,2/4/2015,5:00,5
4,2/5/2015,1:30,1.5
5,2/6/2015,0:00,0
6,2/7/2015,0:00,0
7,2/8/2015,1:15,1.25
1,2/9/2015,4:30,4.5
2,2/10/2015,0:10,0.166666667
3,2/11/2015,1:43,1.716666667
4,2/12/2015,0:30,0.5
5,2/13/2015,0:00,0
6,2/14/2015,0:00,0
7,2/15/2015,0:00,0
1,2/16/2015,2:30,2.5
2,2/17/2015,0:00,0
3,2/18/2015,3:30,3.5
4,2/19/2015,1:00,1
5,2/20/2015,0:00,0
6,2/21/2015,2:14,2.233333333
7,2/22/2015,3:45,3.75
1,2/23/2015,2:00,2
2,2/24/2015,3:15,3.25
3,2/25/2015,3:41,3.683333333
4,2/26/2015,0:00,0
5,2/27/2015,0:00,0
6,2/28/2015,0:00,0
7,3/1/2015,0:00,0
1,3/2/2015,0:45,0.75
2,3/3/2015,3:15,3.25
3,3/4/2015,2:10,2.166666667
4,3/5/2015,1:57,1.95
5,3/6/2015,1:00,1
6,3/7/2015,0:00,0
7,3/8/2015,4:00,4
1,3/9/2015,5:15,5.25
2,3/10/2015,0:45,0.75
3,3/11/2015,0:00,0
4,3/12/2015,0:00,0
5,3/13/2015,3:00,3
6,3/14/2015,0:00,0
7,3/15/2015,,0
1,3/16/2015,,0
2,3/17/2015,,0
3,3/18/2015,,0
4,3/19/2015,,0
5,3/20/2015,,0
6,3/21/2015,,0
7,3/22/2015,,0
1,3/23/2015,2:42,2.7
2,3/24/2015,2:42,2.7
3,3/25/2015,1:45,1.75
4,3/26/2015,1:40,1.666666667
5,3/27/2015,3:04,3.066666667
6,3/28/2015,0:00,0
7,3/29/2015,0:26,0.433333333
1,3/30/2015,5:45,5.75
2,3/31/2015,0:58,0.966666667
3,4/1/2015,2:10,2.166666667
4,4/2/2015,1:23,1.383333333
5,4/3/2015,4:25,4.416666667
6,4/4/2015,0:00,0
7,4/5/2015,5:35,5.583333333
1,4/6/2015,6:30,6.5
2,4/7/2015,3:10,3.166666667
3,4/8/2015,4:30,4.5
4,4/9/2015,4:15,4.25
5,4/10/2015,2:03,2.05
6,4/11/2015,0:00,0
7,4/12/2015,0:20,0.333333333
1,4/13/2015,2:52,2.866666667
2,4/14/2015,0:34,0.566666667
3,4/15/2015,2:48,2.8
4,4/16/2015,1:10,1.166666667
5,4/17/2015,2:30,2.5
6,4/18/2015,0:00,0
